AccXWrist,AccYWrist,AccZWrist,GyroXWrist,GyroYWrist,GyroZWrist,AccXShank,AccYShank,AccZShank,GyroXShank,GyroYShank,GyroZShank,asisDataLX,asisDataLY,asisDataLZ,asisDataRX,asisDataRY,asisDataRZ,psisDataLX,psisDataLY,psisDataLZ,psisDataRX,psisDataRY,psisDataRZ,thighDataLX,thighDataLY,thighDataLZ,thighDataRX,thighDataRY,thighDataRZ,kneeDataLX,kneeDataLY,kneeDataLZ,kneeDataRX,kneeDataRY,kneeDataRZ,heelDataLX,heelDataLY,heelDataLZ,heelDataRX,heelDataRY,heelDataRZ,tibDataLX,tibDataLY,tibDataLZ,tibDataRX,tibDataRY,tibDataRZ,ankDataLX,ankDataLY,ankDataLZ,ankDataRX,ankDataRY,ankDataRZ,toeDataLX,toeDataLY,toeDataLZ,toeDataRX,toeDataRY,toeDataRZ,FP1X,FP1Y,FP1Z,FP2X,FP2Y,FP2Z
-1.915091,1.8202205,9.280012,0.084311105,0.09634788,0.3416815,0.5532035,1.4936702,9.763089,-0.11020739,-0.0013584964,-0.02084746,396.08838,919.4441,904.7296,405.3682,575.15717,937.3039,144.79459,796.31946,1008.8544,145.73624,694.8328,1013.6518,0.0,0.0,0.0,0.0,0.0,0.0,310.72745,933.1726,466.86606,332.04697,561.1491,481.0517,198.46118,864.1517,38.15468,211.59239,615.91174,45.223206,268.61285,961.76514,277.12863,267.8929,549.8882,230.52174,239.02048,903.42737,71.83414,250.01105,577.5382,72.56849,390.4272,932.17004,38.692585,409.4691,576.4835,37.66605,-0.0,-0.0,-0.0,-8.880486,-5.595985,-940.3359
-1.9370674,1.8279675,9.303411,0.08116379,0.09658697,0.33609048,0.5595284,1.5281048,9.789438,-0.107678086,-0.0029417805,-0.021723205,396.0551,919.4409,904.783,405.28,575.2381,937.2458,144.69398,796.3346,1008.9275,145.73811,694.8342,1013.6157,0.0,0.0,0.0,0.0,0.0,0.0,310.72983,933.18024,466.83954,331.76047,561.21246,481.21848,198.47168,864.0994,38.074482,211.82202,615.5034,45.566914,268.6162,961.76886,277.13525,267.9878,549.9677,230.48196,239.06294,903.4535,71.81096,249.99251,577.4356,72.55951,390.43646,932.2967,38.734093,409.63742,576.38104,37.53908,-0.0,-0.0,-0.0,-7.6887255,-5.558208,-940.1379
-1.9391901,1.8349434,9.284199,0.0793892,0.09646949,0.33480096,0.60032004,1.4798591,9.729847,-0.10832903,-0.0042539686,-0.021353789,396.04495,919.4381,904.75604,405.35077,575.36444,937.2032,144.66876,796.3066,1008.8269,145.72072,694.826,1013.6258,0.0,0.0,0.0,0.0,0.0,0.0,310.74628,933.2105,466.86145,332.0741,561.1399,481.0805,198.48344,864.20886,38.07982,211.69067,615.9163,45.244846,268.60916,961.7512,277.12903,267.87912,549.8647,230.53674,239.04153,903.4491,71.80378,249.90877,577.3828,72.53558,390.4305,932.25385,38.713608,409.52698,576.2986,37.418262,-0.0,-0.0,-0.0,-8.52138,-5.2180653,-940.0782
-1.939672,1.8338798,9.266916,0.07973597,0.0954265,0.33367583,0.57561517,1.4937744,9.730459,-0.105377115,-0.001276848,-0.025015073,396.029,919.442,904.8238,405.3028,575.4936,937.2022,144.63618,796.2734,1008.8445,145.70692,694.8076,1013.61255,0.0,0.0,0.0,0.0,0.0,0.0,310.7346,933.2126,466.86203,332.0653,561.08765,481.03503,198.47229,864.131,38.132145,212.03885,615.51996,45.380066,268.5993,961.76196,277.1297,267.92664,549.9393,230.46014,239.01239,903.4233,71.84297,249.92366,577.3846,72.5216,390.42374,932.26825,38.698555,409.58984,576.32556,37.41688,-0.0,-0.0,-0.0,-9.621891,-6.029798,-938.90814
-1.9406453,1.812756,9.246127,0.07941447,0.09419895,0.33289757,0.54302174,1.4849899,9.787106,-0.107161656,-0.00027656223,-0.025904829,396.0195,919.47797,904.8161,405.2284,575.4753,937.18665,144.61559,796.2857,1008.77844,145.66945,694.83527,1013.60754,0.0,0.0,0.0,0.0,0.0,0.0,310.72006,933.2007,466.85312,331.85132,561.0817,481.02133,198.41487,864.17126,38.197624,211.65985,615.95435,45.243614,268.60675,961.7995,277.14117,267.91888,549.9668,230.52989,239.04593,903.45087,71.811134,249.90523,577.3695,72.56213,390.44437,932.18665,38.696106,409.68713,576.2537,37.35465,-0.0,-0.0,-0.0,-7.190395,-6.6245947,-939.2966
-1.9684362,1.8060597,9.273097,0.07686901,0.09291471,0.33000034,0.56077766,1.4835663,9.764676,-0.109613456,0.0014663959,-0.023811,395.95914,919.477,904.81415,405.3122,575.2337,937.289,144.5457,796.2848,1008.8311,145.62326,694.8728,1013.59015,0.0,0.0,0.0,0.0,0.0,0.0,310.7076,933.1979,466.8496,332.05255,561.0974,480.99417,198.44516,864.1035,38.115005,211.48718,615.9729,45.370235,268.6066,961.7844,277.11777,267.98413,550.0502,230.48965,239.02199,903.4596,71.850235,249.99692,577.4904,72.489174,390.48346,932.29034,38.707996,409.48825,576.4601,37.655293,-0.0,-0.0,-0.0,-8.656868,-5.9903502,-939.44836
-1.9574562,1.813414,9.269881,0.0775471,0.09307277,0.3311146,0.55704165,1.4789126,9.782965,-0.10931224,-0.0022173172,-0.020943863,395.87076,919.48816,904.86884,405.21817,575.44574,937.1951,144.60927,796.2602,1008.7451,145.58794,694.85986,1013.58813,0.0,0.0,0.0,0.0,0.0,0.0,310.73386,933.24445,466.86646,331.90488,561.1745,481.07495,198.49948,864.134,38.078793,211.73068,615.9429,45.24011,268.58484,961.81537,277.1395,267.9379,549.9871,230.46045,239.01411,903.48175,71.823074,249.92049,577.3806,72.56822,390.4639,932.219,38.703907,409.43414,576.41974,37.567535,-0.0,-0.0,-0.0,-8.610817,-6.0296426,-940.92444
-1.9469534,1.8256998,9.278345,0.07719645,0.09537563,0.33375123,0.53854346,1.4830552,9.790305,-0.109615706,-0.00092274573,-0.019674247,395.91772,919.4732,904.86914,405.15298,575.31647,937.26373,144.54247,796.3065,1008.8036,145.57378,694.86475,1013.5749,0.0,0.0,0.0,347.4355,555.77075,578.80896,310.7263,933.228,466.85922,331.98557,561.1261,480.99368,198.45882,864.1921,38.088192,211.5098,615.94965,45.363083,268.60297,961.749,277.11575,267.9128,549.99915,230.53085,239.05016,903.4633,71.79959,250.00206,577.48883,72.5261,390.45343,932.20337,38.681366,409.55713,576.4216,37.566883,-0.0,-0.0,-0.0,-8.355293,-5.607844,-941.8873
-1.9553988,1.8134283,9.284229,0.07508345,0.09233409,0.33220977,0.5139855,1.4845974,9.750081,-0.10979337,-0.0010188929,-0.02258471,395.82092,919.5066,904.846,405.11346,575.3359,937.22504,144.5504,796.30585,1008.6757,145.52808,694.9129,1013.54065,0.0,0.0,0.0,346.7493,555.5532,579.0955,310.748,933.2444,466.85413,332.13675,561.1806,481.07605,198.46289,864.1704,38.150093,211.50012,615.9459,45.288284,268.6204,961.8136,277.10623,267.86353,550.00195,230.53317,239.04132,903.4823,71.80467,249.87497,577.3644,72.558,390.44125,932.1866,38.69659,409.39694,576.42773,37.61423,-0.0,-0.0,-0.0,-7.573958,-7.0442467,-940.9972
-1.944046,1.8231244,9.286873,0.0750244,0.09240172,0.33614904,0.52227706,1.4646122,9.747551,-0.11163221,2.6444118e-06,-0.02193734,395.80124,919.5184,904.8576,405.07028,575.5179,937.2165,144.54222,796.25903,1008.68774,145.51227,694.9353,1013.50116,0.0,0.0,0.0,346.82663,555.5996,579.0589,310.73438,933.2362,466.84866,331.95844,561.1029,481.0575,198.46481,864.1388,38.01438,211.51677,615.95404,45.251396,268.61465,961.8164,277.12192,267.84576,549.9702,230.53647,239.0326,903.43774,71.82368,249.9121,577.39246,72.57664,390.4386,932.34076,38.74608,409.50482,576.4263,37.64296,-0.0,-0.0,-0.0,-8.00666,-6.5757394,-941.46643
